4889544,2023-06-14 18:38:08.3426264,GALEN,YU
3686141,2023-06-11 00:47:58.5042842,ANISSA,537552
2092198,2023-06-04 02:01:46.1784706,GENE,OK
3372821,2023-06-10 00:26:15.5987362,JACQULINE,OK
409632,2023-06-01 22:23:41.0610802,INDIA,XT
409632,2023-06-06 02:12:41.8613305,INDIA,XT
2541423,2023-06-06 01:06:32.9724679,MARIANNA,516129
5026792,2023-06-15 05:17:45.3399810,MARVIN,QM
491465,2023-06-02 14:02:41.4903119,MARVIN,QM
393191,2023-06-01 21:37:14.0073688,TYLER,MI
2188443,2023-06-04 18:32:34.9694738,YU,QM
755375,2023-06-03 02:58:54.5783657,MARIANNA,273365
736226,2023-06-03 01:18:07.0653519,MARIANNA,905996
3896306,2023-06-11 22:41:13.2947300,MARIANNA,554402
3094444,2023-06-08 23:08:05.1826111,MERCY,OK
3094444,2023-06-08 23:09:34.3164458,MERCY,OK
3094444,2023-06-08 23:11:06.4047490,MERCY,OK
727146,2023-06-03 00:45:00.0291088,IONE,TP
727146,2023-06-03 00:45:08.1537133,YU,QM
727146,2023-06-07 21:19:19.0286827,IONE,MI
766669,2023-06-03 04:43:04.3246739,MARIANNA,794135
660829,2023-06-02 21:42:01.2328230,ANISSA,279142
2774310,2023-06-07 06:43:40.1166683,YU,WS
4991441,2023-06-14 23:53:17.0696398,BRYAN,NJ
4991441,2023-06-15 02:41:34.3465592,BRYAN,NJ
4991441,2023-06-15 02:42:11.9275646,BRYAN,NJ
3385561,2023-06-10 01:10:06.0389709,ANISSA,399987
225233,2023-06-01 01:51:35.6483823,BRETT,BX
927101,2023-06-03 19:49:36.1871914,MARIANNA,554402
927101,2023-06-04 01:23:44.2721885,MARIANNA,554402
927101,2023-06-04 21:54:02.9371005,MARIANNA,554402
927101,2023-06-04 23:25:13.3378879,MARIANNA,554402
2027879,2023-06-03 22:45:20.0799981,MARIANNA,554402
2027879,2023-06-04 21:27:25.2311645,MARIANNA,554402
2375029,2023-06-05 16:01:51.8767613,GENE,LH
741767,2023-06-03 01:43:27.8439928,MARIANNA,55754
741767,2023-06-11 03:28:12.1585947,MARIANNA,55754
638258,2023-06-02 20:49:03.7146073,GENE,RN
4768410,2023-06-14 03:20:48.1222104,ANISSA,435391
3697124,2023-06-11 01:34:02.6590003,MARIANNA,226062
484426,2023-06-02 07:15:29.7593958,MARVIN,QM
3139022,2023-06-09 04:26:35.5134894,MARIANNA,794135
216756,2023-06-01 00:55:49.9359662,MARIANNA,516129
4682521,2023-06-13 20:49:04.3436321,ANISSA,345538
4682521,2023-06-13 21:28:01.4802596,ANISSA,345538
14507,2023-05-31 01:12:14.1985497,NOLAN,MI
14507,2023-06-03 02:44:04.7470747,NOLAN,MI
4769473,2023-06-14 03:41:19.7039349,MARIANNA,964694
5197979,2023-06-15 22:42:10.9239957,MARIANNA,554402
3332534,2023-06-09 22:32:16.0129297,MARIANNA,574910
236022,2023-06-01 04:38:26.7910608,ANISSA,940640
5124887,2023-06-15 19:20:46.3510524,MARIANNA,554402
2613447,2023-06-06 17:38:05.2869626,INGA,13107
2029984,2023-06-03 22:49:45.9912929,MERCY,CY
3462153,2023-06-10 16:14:12.5978145,TYLER,NJ
3123401,2023-06-09 01:21:51.9187502,MARIANNA,226302
4074428,2023-06-12 21:51:12.6167898,LAVONDA,BX
4737982,2023-06-13 23:54:28.9241945,MERCY,OK
4737982,2023-06-14 00:16:25.1212914,MERCY,OK
209817,2023-06-01 00:25:07.5024999,MERCY,CY
3923556,2023-06-12 00:41:53.4459427,MARVIN,QM
2954968,2023-06-08 02:05:26.8939702,LEATRICE,JF
3328657,2023-06-09 22:22:36.4444393,GALEN,YU
3952141,2023-06-12 15:09:45.3993371,YU,QM
788012,2023-06-03 15:06:47.4234652,TYLER,LH
788012,2023-06-03 15:07:48.8988175,TYLER,LH
788012,2023-06-03 15:09:34.5799099,TYLER,LH
749121,2023-06-03 02:20:33.1736694,MARIANNA,3175
749121,2023-06-15 02:46:00.6430017,MARIANNA,335223
475653,2023-06-02 02:41:44.8116628,BRYAN,IE
4091418,2023-06-12 22:52:00.2073461,YU,NJ
149796,2023-05-31 21:00:03.8875151,TYLER,MI
2321010,2023-06-04 23:43:11.5732955,MERCY,OK
2541838,2023-06-06 01:09:13.0344311,MARIANNA,516129
5098128,2023-06-15 18:11:36.3504796,MARIANNA,554402
762585,2023-06-03 03:51:52.0291177,MARIANNA,3175
2493301,2023-06-05 22:02:49.0013060,TYLER,JF
2493301,2023-06-12 18:56:10.8350491,TYLER,KG
3554039,2023-06-10 19:32:36.5334847,MERCY,OK
3554039,2023-06-10 21:01:32.1090145,MERCY,OK
3554039,2023-06-10 21:04:38.6219338,MERCY,OK
3554039,2023-06-11 16:57:57.4094555,MERCY,OK
3554039,2023-06-11 17:06:36.2375369,MERCY,OK
3064681,2023-06-08 21:06:49.5362507,BRYAN,EA
3064681,2023-06-08 22:21:43.5450101,BRYAN,LH
342442,2023-06-01 19:27:34.1115982,GENE,CY
4901985,2023-06-14 19:14:33.9003871,GENE,LH
3176239,2023-06-09 16:10:36.2665013,YU,QM
5093313,2023-06-15 17:58:45.9399262,MARIANNA,554402
3120526,2023-06-09 01:03:10.4809090,MARIANNA,516129
3120526,2023-06-11 01:30:44.9783145,MARIANNA,516129
3120526,2023-06-14 01:21:36.0378954,MARIANNA,516129
3951376,2023-06-12 15:05:29.3018230,GALEN,YU
2856412,2023-06-07 19:21:29.9833438,YU,QM
2856412,2023-06-07 19:25:15.3993430,MOSES,GC
2856412,2023-06-07 19:30:19.9975260,MOSES,GC
24781,2023-05-31 02:57:25.4520122,MARIANNA,273365
3352450,2023-06-09 23:26:19.9323107,MARIANNA,574910
131028,2023-05-31 20:03:16.5810834,BILLY,YU
131028,2023-05-31 20:15:10.1651131,BILLY,YU
131028,2023-05-31 20:15:10.1979181,BILLY,YU
131028,2023-05-31 20:15:10.3375020,BILLY,YU
131028,2023-05-31 20:15:14.2779186,BILLY,YU
2349285,2023-06-05 09:15:01.6831247,JACQULINE,JF
259418,2023-06-01 15:29:16.2520604,BILLY,YU
4716520,2023-06-13 22:40:42.7566377,GENE,NJ
4716520,2023-06-13 23:19:10.1191657,MERCY,HD
4716520,2023-06-13 23:22:39.5119106,MERCY,HD
125816,2023-05-31 19:48:15.7859973,MERCY,OK
707434,2023-06-02 23:45:26.8027946,ANISSA,279142
3714301,2023-06-11 03:14:06.4743999,MARIANNA,159394
897739,2023-06-03 19:01:15.8147699,TYLER,JF
111798,2023-05-31 19:06:52.8828728,INGA,716511
3921884,2023-06-12 00:30:03.2431092,BILLY,YU
2990871,2023-06-08 16:18:13.8085353,DEWAYNE,JF
3966526,2023-06-12 16:12:46.9828213,BILLY,XT
3770712,2023-06-11 17:34:27.5398425,GALEN,YU
2237132,2023-06-04 20:11:24.7706781,BRYAN,NJ
2237132,2023-06-04 20:12:21.4829375,BRYAN,NJ
2237132,2023-06-05 16:09:26.2291311,ZENOBIA,RN
2354192,2023-06-05 14:02:53.2777027,BILLY,YU
